name,crossing_number,strands,braid_word,jones_q,raw_braid_notation,raw_jones_t,comparable
12n_784,12,5,"[-1, -4, -2, 3, 2, -4, 3, 3, 2, 2, -1, -4, 3, 2]",-q**(-4)+ 4*q**(-3)-9*q**(-2)+ 14*q**(-1)-18+ 21*q-19*q**2+ 17*q**3-12*q**4+ 6*q**5-2*q**6,"[-1,-4,-2,3,2,-4,3,3,2,2,-1,-4,3,2]",-t^(-4)+ 4*t^(-3)-9*t^(-2)+ 14*t^(-1)-18+ 21*t-19*t^2+ 17*t^3-12*t^4+ 6*t^5-2*t^6,true
12n_785,12,5,"[1, -2, -3, -3, -2, -1, -1, -2, 3, 4, -3, 4, -2, 3]",q**(-9)-3*q**(-8)+ 6*q**(-7)-10*q**(-6)+ 13*q**(-5)-15*q**(-4)+ 15*q**(-3)-12*q**(-2)+ 9*q**(-1)-5+ 2*q,"[1,-2,-3,-3,-2,-1,-1,-2,3,4,-3,4,-2,3]",t^(-9)-3*t^(-8)+ 6*t^(-7)-10*t^(-6)+ 13*t^(-5)-15*t^(-4)+ 15*t^(-3)-12*t^(-2)+ 9*t^(-1)-5+ 2*t,true
12n_786,12,5,"[-1, 3, 4, -3, 2, 4, -3, 2, 1, 1, 2, -3, -3, 2]",-q**(-2)+ 5*q**(-1)-11+ 17*q-21*q**2+ 24*q**3-22*q**4+ 18*q**5-12*q**6+ 6*q**7-2*q**8,"[-1,3,4,-3,2,4,-3,2,1,1,2,-3,-3,2]",-t^(-2)+ 5*t^(-1)-11+ 17*t-21*t^2+ 24*t^3-22*t^4+ 18*t^5-12*t^6+ 6*t^7-2*t^8,true
12n_787,12,4,"[1, 3, 3, 3, -2, -2, 3, -2, -2, 3, 2, 1, -2]",q**(-3)-3*q**(-2)+ 6*q**(-1)-8+ 11*q-12*q**2+ 11*q**3-9*q**4+ 6*q**5-3*q**6+ q**7,"[1,3,3,3,-2,-2,3,-2,-2,3,2,1,-2]",t^(-3)-3*t^(-2)+ 6*t^(-1)-8+ 11*t-12*t^2+ 11*t^3-9*t^4+ 6*t^5-3*t^6+ t^7,true
12n_788,12,5,"[1, -2, 1, 2, -3, -3, 2, 2, 3, 4, -2, -2, -3, 4]",q**(-4)-4*q**(-3)+ 9*q**(-2)-13*q**(-1)+ 17-18*q+ 17*q**2-14*q**3+ 9*q**4-5*q**5+ 2*q**6,"[1,-2,1,2,-3,-3,2,2,3,4,-2,-2,-3,4]",t^(-4)-4*t^(-3)+ 9*t^(-2)-13*t^(-1)+ 17-18*t+ 17*t^2-14*t^3+ 9*t^4-5*t^5+ 2*t^6,true
12n_789,12,5,"[1, -4, 3, -2, -4, -3, -3, -2, -4, 3, 3, 2, 1, -2]",-q**(-7)+ 4*q**(-6)-8*q**(-5)+ 12*q**(-4)-14*q**(-3)+ 15*q**(-2)-14*q**(-1)+ 11-7*q+ 3*q**2,"[1,-4,3,-2,-4,-3,-3,-2,-4,3,3,2,1,-2]",-t^(-7)+ 4*t^(-6)-8*t^(-5)+ 12*t^(-4)-14*t^(-3)+ 15*t^(-2)-14*t^(-1)+ 11-7*t+ 3*t^2,true
12n_79,12,5,"[1, -2, 1, 2, 3, -4, 3, -4, 3, 4, 2, 4, 2, -3]",q-q**2+ 2*q**3-2*q**4+ 3*q**5-3*q**6+ 3*q**7-3*q**8+ 2*q**9-2*q**10+ q**11,"[1,-2,1,2,3,-4,3,-4,3,4,2,4,2,-3]",t-t^2+ 2*t^3-2*t^4+ 3*t^5-3*t^6+ 3*t^7-3*t^8+ 2*t^9-2*t^10+ t^11,true
12n_790,12,4,"[-1, 2, 2, -1, -3, 2, -1, 3, -2, -3, 2, -3, 2]",-2*q**(-5)+ 6*q**(-4)-12*q**(-3)+ 18*q**(-2)-21*q**(-1)+ 23-20*q+ 16*q**2-10*q**3+ 4*q**4-q**5,"[-1,2,2,-1,-3,2,-1,3,-2,-3,2,-3,2]",-2*t^(-5)+ 6*t^(-4)-12*t^(-3)+ 18*t^(-2)-21*t^(-1)+ 23-20*t+ 16*t^2-10*t^3+ 4*t^4-t^5,true
12n_791,12,4,"[1, 2, 3, 3, -2, 1, 1, -2, 1, -2, -3, 2, 1]",-q**(-1)+ 4-8*q+ 12*q**2-14*q**3+ 16*q**4-14*q**5+ 12*q**6-8*q**7+ 3*q**8-q**9,"[1,2,3,3,-2,1,1,-2,1,-2,-3,2,1]",-t^(-1)+ 4-8*t+ 12*t^2-14*t^3+ 16*t^4-14*t^5+ 12*t^6-8*t^7+ 3*t^8-t^9,true
12n_792,12,4,"[1, 3, -2, -2, 3, -2, -2, -2, -2, 3, 2, 1, -2]",q**(-7)-3*q**(-6)+ 6*q**(-5)-9*q**(-4)+ 12*q**(-3)-13*q**(-2)+ 12*q**(-1)-10+ 7*q-4*q**2+ 2*q**3,"[1,3,-2,-2,3,-2,-2,-2,-2,3,2,1,-2]",t^(-7)-3*t^(-6)+ 6*t^(-5)-9*t^(-4)+ 12*t^(-3)-13*t^(-2)+ 12*t^(-1)-10+ 7*t-4*t^2+ 2*t^3,true
